省市名称,组织人次数,接待人次数,组织人天数,接待人天数
北京,833390,672221,1827203,1842382
天津,96441,24971,366317,63880
河北,246679,190031,837931,309134
山西,245644,210034,787683,685308
内蒙古,56258,17969,252834,46738
辽宁,332929,116738,1038610,308837
吉林,140711,230422,518940,579316
黑龙江,251791,733541,469621,1276744
上海,837133,775813,2421258,1498922
江苏,1930758,2930073,4437438,5457481
浙江,2550836,3256477,5296803,5481672
安徽,454020,693273,1265540,1331081
福建,834465,924427,1735255,2217931
江西,600692,616004,1248943,1194726
山东,842783,357492,2351795,708981
河南,377489,329595,942061,588835
湖北,1639761,3773983,4845636,5924445
湖南,1188524,1657374,3063218,3822973
广东,2742672,2934990,5992237,4677187
广西,273058,641745,712866,1836178
海南,219340,1414636,453509,3785713
重庆,1382167,1266388,5332559,2163991
四川,1002325,495045,1786215,1148307
贵州,169139,346602,458447,911831
云南,665769,2371132,1914395,6157662
西藏,16597,78790,28402,337104
陕西,564476,1242732,1667342,2499262
甘肃,79023,76186,302252,243030
青海,53378,70990,179660,269559
宁夏,53479,27703,280375,62540
新疆,41188,37758,138903,129219
兵团,20147,21297,122331,83719
